Ipopt 3.13.4: 

******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit https://github.com/coin-or/Ipopt
******************************************************************************

This is Ipopt version 3.13.4, running with linear solver ma27.

Number of nonzeros in equality constraint Jacobian...:     9319
Number of nonzeros in inequality constraint Jacobian.:    31040
Number of nonzeros in Lagrangian Hessian.............:     7180

Total number of variables............................:     3109
                     variables with only lower bounds:        0
                variables with lower and upper bounds:     2527
                     variables with only upper bounds:        0
Total number of equality constraints.................:     2528
Total number of inequality constraints...............:     6208
        inequality constraints with only lower bounds:     6208
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150  2.5311565e+01 1.69e-04 2.85e-02  -7.2 5.83e-02  -0.4 1.00e+00 3.64e-01h  1
 151  2.5305549e+01 2.41e-03 2.57e-02 -11.0 5.63e-01  -0.9 1.00e-01 9.75e-02h  1
 152  2.5305254e+01 2.29e-03 4.62e-02  -6.5 1.32e-02   0.4 1.00e+00 5.19e-02h  1
 153  2.5300936e+01 1.15e-03 2.50e-02  -5.3 2.45e-02  -0.0 1.00e+00 4.97e-01h  1
 154  2.5298093e+01 9.80e-04 2.18e-02  -6.2 6.10e-02  -0.5 1.00e+00 1.50e-01h  1
 155  2.5291530e+01 8.33e-04 1.04e-01  -6.4 1.86e-01  -1.0 1.00e+00 1.50e-01h  1
 156  2.5280021e+01 7.49e-04 8.83e-02  -6.3 5.11e-01  -1.5 1.00e+00 1.01e-01h  1
 157  2.5262023e+01 6.94e-04 1.73e-01  -4.3 1.19e+00  -1.9 9.55e-01 7.33e-02f  1
 158  2.5242842e+01 5.35e-04 5.46e-02  -4.3 4.74e-01  -1.5 9.82e-01 2.29e-01f  1
 159  2.5234894e+01 4.17e-04 4.29e-02  -5.0 1.51e-01  -1.1 1.00e+00 2.21e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160  2.5208352e+01 3.66e-04 6.16e-02  -4.7 5.02e-01  -1.6 1.00e+00 3.60e-01h  1
 161  2.5198340e+01 2.63e-04 3.52e-02  -4.8 1.83e-01  -1.1 9.99e-01 4.03e-01h  1
 162  2.5184383e+01 2.93e-04 3.84e-02  -5.0 4.36e-01  -1.6 1.00e+00 2.50e-01h  1
 163  2.5182502e+01 2.43e-04 5.37e-02  -4.5 1.19e-01  -1.2 1.00e+00 1.69e-01h  1
 164  2.5173715e+01 1.95e-04 4.36e-02  -4.6 2.52e-01  -1.7 9.99e-01 3.55e-01h  1
 165  2.5169765e+01 1.13e-04 2.50e-02  -5.1 6.19e-02  -1.2 9.99e-01 5.01e-01h  1
 166  2.5164163e+01 2.98e-04 3.69e-02  -5.2 1.69e-01  -1.7 1.00e+00 4.43e-01h  1
 167  2.5158091e+01 3.30e-04 3.09e-03  -6.1 6.13e-02  -1.3 1.00e+00 9.37e-01h  1
 168  2.5157095e+01 7.49e-04 3.61e-03  -4.1 8.38e-01  -1.8 6.74e-02 6.71e-02f  1
